Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Sidi Ifni;Tangarfa;0.585;33.4;0.584;0.393;0.058;0.398;0.544;0.511;0.334
Tanger-Assilah;Tanger-Médina (Arrond,);0.796;38.3;0.335;0.325;0.026;0.218;0.038;0.283;0.383
Béni Mellal;Tanougha;0.569;29.8;0.569;0.452;0.133;0.284;0.572;0.576;0.298
Midelt;Tanourdi;0.554;28.3;0.695;0.420;0.003;0.515;0.507;0.537;0.283
Zagora;Tansifte;0.620;34.7;0.618;0.389;0.079;0.335;0.356;0.506;0.347
Sidi Kacem;Taoughilt;0.615;23.9;0.554;0.433;0.091;0.258;0.471;0.500;0.239
Chichaoua;Taouloukoult;0.539;29.4;0.738;0.484;0.058;0.348;0.545;0.591;0.294
Taounate;Taounate (Mun,);0.784;36.5;0.392;0.267;0.044;0.184;0.063;0.345;0.365
Azilal;Taounza;0.576;26.6;0.597;0.413;0.226;0.372;0.429;0.510;0.266
Taourirt;Taourirt (Mun,);0.763;36.4;0.464;0.300;0.043;0.185;0.053;0.376;0.364
Taroudannt;Taouyalte;0.505;28.6;0.713;0.447;0.372;0.379;0.520;0.539;0.286
El Kelaa des Sraghna;Taouzint;0.577;26.7;0.589;0.407;0.427;0.348;0.270;0.499;0.267
Tarfaya;Tarfaya (Mun,);0.770;42.2;0.401;0.295;0.021;0.210;0.064;0.386;0.422
Guelmim;Targa Wassay;0.636;42.8;0.638;0.363;0.108;0.294;0.312;0.468;0.428
Essaouira;Targante;0.546;27.2;0.703;0.430;0.053;0.374;0.598;0.567;0.272
Chtouka- Ait Baha;Targua Ntouchka;0.514;31.5;0.748;0.579;0.019;0.470;0.585;0.515;0.315
Al Hoceima;Targuist (Mun,);0.775;49.5;0.414;0.280;0.091;0.191;0.033;0.338;0.495
Ouarzazate;Tarmigt;0.721;39.3;0.415;0.410;0.049;0.188;0.244;0.365;0.393
Taroudannt;Taroudannt (Mun,);0.785;34.6;0.376;0.329;0.039;0.185;0.049;0.312;0.346
Tiznit;Tarsouat;0.572;36.1;0.754;0.407;0.063;0.265;0.606;0.470;0.361
Chtouka- Ait Baha;Tassegdelt;0.548;31.5;0.721;0.531;0.278;0.301;0.345;0.534;0.315
Chefchaouen;Tassift;0.493;30.6;0.693;0.372;0.598;0.250;0.558;0.570;0.306
Marrakech;Tassoultante;0.673;35.5;0.466;0.486;0.052;0.223;0.290;0.448;0.355
Taroudannt;Tassousfi;0.584;30.9;0.693;0.487;0.165;0.251;0.414;0.486;0.309
Tiznit;Tassrirt;0.606;38.5;0.725;0.449;0.040;0.276;0.370;0.506;0.385
Tata;Tata (Mun,);0.785;32.3;0.401;0.230;0.042;0.176;0.128;0.312;0.323
Taroudannt;Tataoute;0.518;29.0;0.698;0.428;0.283;0.406;0.524;0.555;0.290
Larache;Tatoft;0.492;26.4;0.665;0.447;0.499;0.339;0.475;0.623;0.264
Taza;Taza (Mun,);0.804;37.4;0.346;0.289;0.031;0.195;0.030;0.284;0.374
Driouch;Tazaghine;0.580;37.7;0.586;0.454;0.228;0.205;0.571;0.477;0.377
Taza;Tazarine;0.378;37.6;0.576;0.495;0.530;0.592;0.710;0.827;0.376
Zagora;Tazarine;0.652;25.2;0.539;0.387;0.078;0.338;0.294;0.449;0.252
Al  Haouz;Tazart;0.581;28.1;0.676;0.444;0.027;0.402;0.442;0.526;0.281
Taroudannt;Tazemmourt;0.641;30.5;0.604;0.372;0.045;0.324;0.325;0.486;0.305
Ouarzazate;Taznakht (Mun,);0.736;41.1;0.473;0.256;0.032;0.184;0.275;0.363;0.411
Sefrou;Tazouta;0.540;31.4;0.644;0.488;0.170;0.412;0.473;0.575;0.314
Larache;Tazroute;0.515;29.3;0.671;0.474;0.338;0.316;0.523;0.586;0.293
Sidi Kacem;Tekna;0.540;25.8;0.570;0.423;0.407;0.316;0.540;0.504;0.258
Ouarzazate;Telouet;0.630;29.2;0.624;0.410;0.071;0.323;0.295;0.495;0.292
Skhirate- Témara;Témara (Mun,);0.783;37.7;0.305;0.356;0.032;0.253;0.110;0.245;0.377
Driouch;Temsamane;0.627;31.7;0.667;0.421;0.068;0.219;0.446;0.416;0.317
Inezgane- Ait Melloul;Temsia;0.697;37.2;0.479;0.420;0.029;0.172;0.310;0.406;0.372
Figuig;Tendrara;0.517;32.2;0.581;0.366;0.594;0.381;0.360;0.617;0.322
Zagora;Ternata;0.575;28.9;0.605;0.388;0.218;0.445;0.392;0.504;0.289
Ouezzane;Teroual;0.546;26.6;0.577;0.472;0.324;0.316;0.487;0.550;0.266
Tétouan;Tétouan (Mun,);0.784;38.7;0.391;0.335;0.032;0.193;0.028;0.317;0.387
Taounate;Thar Es-souk (Mun,);0.693;41.5;0.429;0.286;0.125;0.253;0.332;0.417;0.415
Aousserd;Tichla;0.452;44.0;0.757;0.646;0.189;0.377;0.576;0.743;0.440
Khémisset;Tiddas;0.563;22.5;0.545;0.458;0.235;0.329;0.453;0.602;0.225
Azilal;Tidili Fetouaka;0.612;23.6;0.570;0.465;0.041;0.292;0.492;0.467;0.236
Al  Haouz;Tidili Mesfioua;0.598;27.0;0.674;0.425;0.112;0.348;0.307;0.545;0.270
Ouarzazate;Tidli;0.611;30.8;0.618;0.389;0.306;0.284;0.261;0.475;0.308
Taroudannt;Tidsi Nissendalene;0.601;33.8;0.644;0.387;0.043;0.320;0.459;0.541;0.338
Essaouira;Tidzi;0.600;29.5;0.631;0.448;0.130;0.304;0.375;0.511;0.295
Es-Semara;Tifariti;0.499;46.6;0.568;0.090;0.572;0.381;0.545;0.849;0.466
Al Hoceima;Tifarouine;0.502;32.7;0.705;0.468;0.463;0.276;0.524;0.552;0.327
Azilal;Tiffert N'Ait Hamza;0.425;28.4;0.584;0.423;0.555;0.577;0.589;0.723;0.284
Khémisset;Tiflet (Mun,);0.777;36.4;0.372;0.340;0.044;0.173;0.037;0.375;0.364
Azilal;Tifni;0.576;27.7;0.638;0.395;0.039;0.490;0.459;0.524;0.277
Khénifra;Tighassaline;0.631;37.2;0.567;0.507;0.172;0.257;0.242;0.470;0.372
Al  Haouz;Tighedouine;0.568;27.6;0.702;0.379;0.179;0.411;0.378;0.545;0.276
Sidi Ifni;Tighirt;0.613;32.1;0.726;0.380;0.026;0.265;0.445;0.479;0.321
Tiznit;Tighmi;0.591;37.6;0.720;0.515;0.011;0.261;0.495;0.453;0.376
Guelmim;Tiglit;0.523;29.4;0.506;0.277;0.138;0.432;0.800;0.706;0.294
Taroudannt;Tigouga;0.482;27.5;0.773;0.472;0.187;0.500;0.558;0.616;0.275
Ifrane;Tigrigra;0.610;41.2;0.515;0.470;0.118;0.315;0.403;0.520;0.412
Tata;Tigzmerte;0.641;46.6;0.464;0.378;0.118;0.389;0.312;0.491;0.466
Tan-Tan;Tilemzoun;0.558;48.1;0.566;0.328;0.129;0.415;0.579;0.635;0.481
Tinghir;Tilmi;0.577;26.4;0.739;0.456;0.088;0.439;0.293;0.521;0.264
Azilal;Tilougguite;0.474;28.0;0.636;0.455;0.200;0.607;0.580;0.680;0.280
Ifrane;Timahdite;0.578;32.5;0.587;0.434;0.264;0.346;0.379;0.523;0.325
Chichaoua;Timezgadiouine;0.555;29.4;0.742;0.516;0.015;0.365;0.497;0.537;0.294
Taounate;Timezgana;0.495;28.0;0.615;0.426;0.620;0.323;0.522;0.525;0.280
Essaouira;Timizguida- Ouftas;0.599;32.7;0.557;0.440;0.019;0.279;0.602;0.512;0.327
Chichaoua;Timlilt;0.553;27.3;0.756;0.425;0.026;0.372;0.476;0.625;0.273
Guelmim;Timoulay;0.663;35.6;0.568;0.408;0.045;0.244;0.341;0.415;0.356
Azilal;Timoulilt;0.651;27.3;0.420;0.480;0.078;0.268;0.380;0.469;0.273
Taroudannt;Tindine;0.461;32.0;0.842;0.647;0.046;0.460;0.596;0.644;0.320
Errachidia;Tinejdad (Mun,);0.784;33.0;0.351;0.281;0.068;0.174;0.134;0.286;0.330
Tinghir;Tinghir (Mun,);0.748;43.0;0.459;0.298;0.069;0.186;0.184;0.318;0.430
Taroudannt;Tinzart;0.627;30.2;0.620;0.337;0.118;0.298;0.354;0.510;0.302
Zagora;Tinzouline;0.634;29.3;0.553;0.401;0.137;0.369;0.312;0.424;0.293
Sidi Ifni;Tioughza;0.593;33.1;0.674;0.445;0.040;0.285;0.526;0.475;0.331
Jerada;Tiouli;0.570;33.2;0.543;0.401;0.177;0.398;0.460;0.600;0.332
Taroudannt;Tiout;0.620;33.1;0.591;0.412;0.080;0.368;0.317;0.513;0.331
"Agadir-Ida
-Ou-Tanane";Tiqqi;0.550;26.7;0.669;0.567;0.031;0.452;0.455;0.524;0.267
Taroudannt;Tisfane;0.565;29.7;0.604;0.446;0.043;0.547;0.421;0.552;0.297
Azilal;Tisqi;0.574;24.9;0.609;0.361;0.479;0.331;0.307;0.471;0.249
Taroudannt;Tisrasse;0.538;29.1;0.739;0.559;0.054;0.403;0.461;0.554;0.291
Taounate;Tissa (Mun,);0.738;35.1;0.451;0.246;0.084;0.207;0.168;0.414;0.351
Boulemane;Tissaf;0.577;22.5;0.583;0.371;0.196;0.334;0.483;0.573;0.225
Tata;Tissint;0.624;36.6;0.535;0.525;0.059;0.392;0.281;0.466;0.366
Médiouna;Tit Mellil (Mun,);0.742;31.2;0.364;0.315;0.039;0.306;0.161;0.363;0.312
Tata;Tizaghte;0.577;34.3;0.658;0.488;0.075;0.422;0.365;0.529;0.343
Chefchaouen;Tizgane;0.520;32.7;0.619;0.367;0.632;0.215;0.495;0.549;0.327
Al  Haouz;Tizguine;0.632;36.5;0.562;0.506;0.065;0.290;0.291;0.495;0.365
Ifrane;Tizguite;0.533;29.5;0.606;0.440;0.193;0.387;0.567;0.608;0.295
Taroudannt;Tizgzaouine;0.530;30.0;0.740;0.456;0.305;0.357;0.416;0.546;0.300
Midelt;Tizi N'Ghachou;0.480;30.5;0.642;0.482;0.392;0.457;0.572;0.572;0.305
Béni Mellal;Tizi N'Isly;0.500;27.8;0.713;0.503;0.255;0.424;0.486;0.619;0.278
Chtouka- Ait Baha;Tizi Ntakoucht;0.571;38.5;0.685;0.436;0.017;0.377;0.526;0.532;0.385
Taroudannt;Tizi N'Test;0.516;28.6;0.711;0.620;0.029;0.466;0.531;0.545;0.286
Taza;Tizi Ouasli;0.599;33.4;0.583;0.474;0.173;0.257;0.415;0.504;0.334
Tiznit;Tiznit (Mun,);0.799;37.9;0.417;0.285;0.028;0.173;0.041;0.264;0.379
Tiznit;Tizoughrane;0.546;38.0;0.792;0.667;0.057;0.297;0.440;0.469;0.380
Tata;Tizounine;0.615;35.9;0.532;0.641;0.060;0.329;0.275;0.474;0.359
Nador;Tiztoutine;0.632;39.4;0.602;0.396;0.053;0.214;0.487;0.458;0.394
Rehamna;Tlauh;0.601;26.3;0.597;0.456;0.179;0.301;0.376;0.484;0.263
Tata;Tlite;0.533;30.7;0.682;0.431;0.288;0.452;0.400;0.546;0.307
Tiznit;Tnine Aday;0.609;40.7;0.690;0.437;0.055;0.307;0.390;0.464;0.407
Tiznit;Tnine Aglou;0.675;39.9;0.499;0.446;0.031;0.193;0.400;0.384;0.399
Sidi Ifni;Tnine Amellou;0.573;28.8;0.650;0.394;0.016;0.330;0.696;0.476;0.288
Settat;Toualet;0.556;23.9;0.617;0.387;0.293;0.329;0.544;0.494;0.239
Al  Haouz;Touama;0.628;31.6;0.582;0.445;0.036;0.345;0.313;0.512;0.316
Rabat;Touarga (Mun,);0.858;33.2;0.218;0.278;0.017;0.192;0.006;0.143;0.332
Taroudannt;Toubkal;0.526;27.8;0.734;0.442;0.366;0.357;0.410;0.534;0.278
Tinghir;Toudgha El Oulia;0.696;44.1;0.475;0.388;0.062;0.222;0.315;0.360;0.441
Tinghir;Toudgha Essoufla;0.691;38.2;0.451;0.402;0.037;0.229;0.321;0.416;0.382
Taroudannt;Toufelaazt;0.515;29.4;0.713;0.396;0.158;0.390;0.667;0.586;0.294
Taroudannt;Toughmart;0.482;30.8;0.714;0.449;0.276;0.437;0.630;0.601;0.308
Jerada;Touissit (Mun,);0.785;38.8;0.377;0.295;0.011;0.166;0.037;0.403;0.388
Assa-Zag;Touizgui;0.375;56.1;0.630;0.409;0.407;0.634;0.766;0.903;0.561
Meknès;Toulal (Mun,);0.783;38.0;0.373;0.329;0.046;0.176;0.041;0.334;0.380
Taroudannt;Toumliline;0.547;31.2;0.718;0.531;0.026;0.417;0.416;0.611;0.312
Ouarzazate;Toundoute;0.618;27.4;0.624;0.420;0.181;0.330;0.287;0.448;0.274
Midelt;Tounfite;0.620;26.9;0.604;0.398;0.205;0.343;0.255;0.477;0.269
Taza;Traiba;0.515;27.6;0.569;0.436;0.373;0.330;0.592;0.610;0.276
Driouch;Trougout;0.580;43.7;0.655;0.495;0.082;0.253;0.520;0.515;0.437
Driouch;Tsaft;0.601;45.0;0.648;0.464;0.133;0.242;0.452;0.457;0.450
Rabat;Yacoub El Mansour (Arrond,);0.811;36.0;0.285;0.311;0.026;0.214;0.054;0.243;0.360
Youssoufia;Youssoufia (Mun,);0.787;36.5;0.345;0.379;0.044;0.166;0.027;0.319;0.365
Larache;Zaaroura;0.532;29.4;0.659;0.398;0.350;0.320;0.519;0.559;0.294
Assa-Zag;Zag (Mun,);0.797;39.6;0.363;0.295;0.038;0.163;0.027;0.334;0.396
Sidi Kacem;Zaggota;0.592;26.1;0.503;0.402;0.313;0.278;0.423;0.531;0.261
Taroudannt;Zagmouzen;0.574;28.3;0.700;0.387;0.167;0.354;0.469;0.479;0.283
Zagora;Zagora (Mun,);0.757;48.9;0.413;0.316;0.071;0.220;0.101;0.338;0.489
Midelt;Zaida;0.664;35.7;0.521;0.455;0.068;0.253;0.279;0.441;0.357
Nador;Zaio (Mun,);0.747;40.9;0.472;0.326;0.055;0.163;0.131;0.370;0.409
Tétouan;Zaitoune;0.665;25.6;0.571;0.385;0.113;0.196;0.285;0.459;0.256
Chichaoua;Zaouia Annahlia;0.544;26.9;0.678;0.433;0.041;0.326;0.673;0.585;0.269
Taroudannt;Zaouia Sidi Tahar;0.671;31.4;0.587;0.396;0.057;0.228;0.274;0.433;0.314
Azilal;Zaouiat Ahansal;0.394;31.7;0.793;0.605;0.182;0.597;0.686;0.771;0.317
Essaouira;Zaouiat Ben Hmida;0.571;29.9;0.576;0.371;0.259;0.323;0.488;0.560;0.299
Béni Mellal;Zaouiat Cheikh (Mun,);0.738;36.5;0.442;0.360;0.035;0.183;0.146;0.405;0.365
El Jadida;Zaouiat Lakouacem;0.543;30.6;0.667;0.357;0.303;0.355;0.523;0.539;0.306
El Jadida;Zaouiat Saiss;0.530;31.6;0.604;0.415;0.369;0.346;0.540;0.544;0.316
Al Hoceima;Zaouiat Sidi Abdelkader;0.560;30.1;0.731;0.435;0.048;0.343;0.550;0.532;0.301
Berrechid;Zaouiat Sidi Ben Hamdoun;0.588;26.8;0.570;0.322;0.245;0.326;0.530;0.480;0.268
Midelt;Zaouiat Sidi Hamza;0.455;27.8;0.704;0.532;0.411;0.486;0.556;0.578;0.278
Tétouan;Zaouiat Sidi Kacem;0.465;22.5;0.726;0.387;0.448;0.353;0.640;0.657;0.225
Al Hoceima;Zarkt;0.524;32.7;0.620;0.461;0.443;0.334;0.518;0.484;0.327
Nador;Zeghanghane (Mun,);0.767;44.7;0.505;0.260;0.031;0.166;0.109;0.326;0.447
Berkane;Zegzel;0.644;41.4;0.505;0.460;0.087;0.215;0.365;0.502;0.414
Sidi Bennour;Zemamra (Mun,);0.780;40.1;0.360;0.333;0.068;0.183;0.053;0.324;0.401
El Kelaa des Sraghna;Zemrane;0.602;27.9;0.579;0.409;0.218;0.328;0.320;0.533;0.279
El Kelaa des Sraghna;Zemrane Charqia;0.633;31.9;0.537;0.431;0.190;0.286;0.274;0.485;0.319
Al  Haouz;Zerkten;0.573;26.8;0.728;0.458;0.070;0.390;0.380;0.534;0.268
Ouezzane;Zghira;0.562;28.7;0.587;0.477;0.154;0.318;0.521;0.570;0.287
Benslimane;Ziaida;0.580;24.5;0.488;0.396;0.250;0.326;0.537;0.523;0.245
Tétouan;Zinat;0.560;23.6;0.645;0.362;0.256;0.293;0.536;0.547;0.236
Sidi Kacem;Zirara;0.666;31.3;0.494;0.425;0.118;0.221;0.275;0.471;0.313
El Kelaa des Sraghna;Znada;0.662;25.5;0.592;0.402;0.109;0.269;0.198;0.459;0.255
Larache;Zouada;0.592;31.3;0.610;0.420;0.236;0.230;0.455;0.498;0.313
Fès;Zouagha (Arrond,);0.768;32.8;0.411;0.357;0.049;0.194;0.014;0.363;0.328
Ouezzane;Zoumi;0.574;31.1;0.526;0.427;0.346;0.293;0.467;0.494;0.311
Taza;Zrarda;0.640;29.2;0.554;0.368;0.139;0.229;0.337;0.531;0.292
Taounate;Zrizer;0.607;25.8;0.497;0.448;0.129;0.260;0.535;0.486;0.258
