Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Taroudannt;Askaouen;0.477;27.8;0.689;0.455;0.533;0.391;0.498;0.574;0.278
Al  Haouz;Asni;0.618;34.8;0.606;0.476;0.144;0.283;0.280;0.502;0.348
Guelmim;Asrir;0.655;40.3;0.494;0.340;0.167;0.275;0.376;0.419;0.403
Assa-Zag;Assa (Mun,);0.768;39.1;0.407;0.267;0.021;0.176;0.131;0.390;0.391
Taroudannt;Assads;0.566;28.9;0.709;0.387;0.037;0.360;0.565;0.545;0.289
El Kelaa des Sraghna;Assahrij;0.633;32.1;0.509;0.413;0.127;0.266;0.442;0.447;0.321
Essaouira;Assais;0.450;27.2;0.856;0.455;0.047;0.537;0.682;0.721;0.272
Taroudannt;Assaisse;0.520;29.8;0.807;0.462;0.442;0.348;0.294;0.529;0.298
Taroudannt;Assaki;0.535;31.5;0.662;0.478;0.411;0.311;0.443;0.484;0.315
Guercif;Assebbab;0.500;27.1;0.633;0.431;0.492;0.360;0.478;0.604;0.271
Chichaoua;Assif El Mal;0.609;27.5;0.655;0.403;0.147;0.318;0.300;0.527;0.275
Tanger-Assilah;Assilah (Mun,);0.750;36.5;0.399;0.328;0.050;0.217;0.142;0.366;0.365
Casablanca;Assoukhour Assawda (Arrond,);0.826;33.5;0.226;0.353;0.022;0.275;0.009;0.157;0.335
Tinghir;Assoul;0.555;32.4;0.477;0.485;0.436;0.390;0.366;0.514;0.324
Youssoufia;Atiamim;0.570;25.1;0.578;0.410;0.132;0.303;0.601;0.554;0.251
Safi;Atouabet;0.556;23.2;0.694;0.370;0.173;0.326;0.538;0.567;0.232
Larache;Ayacha;0.504;31.8;0.635;0.440;0.492;0.299;0.536;0.576;0.318
Safi;Ayir;0.585;27.5;0.586;0.425;0.050;0.333;0.551;0.547;0.275
Taroudannt;Azaghar N'Irs;0.582;29.9;0.665;0.442;0.087;0.409;0.382;0.522;0.299
El Jadida;Azemmour (Mun,);0.771;35.6;0.373;0.358;0.031;0.185;0.058;0.368;0.356
Sidi Slimane;Azghar;0.595;27.5;0.535;0.404;0.201;0.294;0.517;0.475;0.275
Al  Haouz;Azgour;0.569;31.0;0.705;0.413;0.090;0.338;0.474;0.564;0.310
"Agadir-Ida
-Ou-Tanane";Aziar;0.555;27.8;0.748;0.431;0.000;0.338;0.596;0.557;0.278
Azilal;Azilal (Mun,);0.780;35.1;0.410;0.262;0.032;0.181;0.082;0.354;0.351
Tétouan;Azla;0.637;34.5;0.602;0.414;0.096;0.183;0.406;0.477;0.345
Driouch;Azlaf;0.638;41.0;0.649;0.435;0.038;0.214;0.417;0.421;0.410
Taroudannt;Azrar;0.534;26.8;0.719;0.470;0.376;0.336;0.347;0.545;0.268
Ifrane;Azrou (Mun,);0.790;34.2;0.351;0.346;0.044;0.178;0.022;0.319;0.342
